numExp,nSticks,stick1,stick2,p_isLong_1_L0,p_isLong_2_L0,p_isLong_1_L1,p_isLong_2_L1,isWEE,WEE
226,5,0.625,0.175,0.568885448916409,0.3725490196078429,0.2315663756971809,0.20913386947199586,False,0.0
227,5,0.625,0.125,0.568885448916409,0.3382352941176468,0.2315663756971809,0.15199467167566816,False,0.0
228,5,0.625,0.075,0.568885448916409,0.30514705882352977,0.2315663756971809,0.11161845867887832,False,0.0
229,5,0.625,0.025,0.568885448916409,0.272058823529412,0.2315663756971809,0.08350437643961996,False,0.0
230,5,0.675,0.475,0.5962332301341593,0.5906862745098037,0.2896817059125243,0.8348531791141939,True,0.5507184288260252
231,5,0.675,0.425,0.5962332301341593,0.5612745098039214,0.2896817059125243,0.7742726771349717,True,0.5195496915526854
232,5,0.675,0.375,0.5962332301341593,0.5318627450980392,0.2896817059125243,0.6911145590710034,True,0.4658033381945992
233,5,0.675,0.325,0.5962332301341593,0.49999999999999994,0.2896817059125243,0.5843908514275237,True,0.39094237564915874
234,5,0.675,0.275,0.5962332301341593,0.46568627450980404,0.2896817059125243,0.4614773571710194,True,0.30234260688285036
235,5,0.675,0.225,0.5962332301341593,0.43504901960784365,0.2896817059125243,0.3593940026437916,True,0.23089650725758298
236,5,0.675,0.175,0.5962332301341593,0.4019607843137257,0.2896817059125243,0.2690733126224609,False,0.0
237,5,0.675,0.125,0.5962332301341593,0.36887254901960764,0.2896817059125243,0.20175599032392047,False,0.0
238,5,0.675,0.075,0.5962332301341593,0.3333333333333329,0.2896817059125243,0.1488332910354279,False,0.0
239,5,0.675,0.025,0.5962332301341593,0.300245098039216,0.2896817059125243,0.11370608276988367,False,0.0
240,5,0.725,0.475,0.6240970072239418,0.6225490196078436,0.3589298935331339,0.9015516785156084,True,0.5441697725985726
241,5,0.725,0.425,0.6240970072239418,0.5931372549019606,0.3589298935331339,0.8547725318468576,True,0.5268023906357049
242,5,0.725,0.375,0.6240970072239418,0.563725490196078,0.3589298935331339,0.7849586997815673,True,0.4864003232762972
